date,minimum_temperature_c,maximum_temperature_c,rainfall_mm,evaporation_mm,sunshine_hours,direction_of_maximum_wind_gust,speed_of_maximum_wind_gust_km_h,time_of_maximum_wind_gust,x9am_temperature_c,x9am_relative_humidity_percent,x9am_cloud_amount_oktas,x9am_wind_direction,x9am_wind_speed_km_h,x9am_msl_pressure_h_pa,x3pm_temperature_c,x3pm_relative_humidity_percent,x3pm_cloud_amount_oktas,x3pm_wind_direction,x3pm_wind_speed_km_h,x3pm_msl_pressure_h_pa,year,month,day
2019-10-07,10.4,16.4,1.2,1.6,4.8,WSW,50,20:18:00,10.8,96,8,WSW,17,1017.5,15.2,64,NA,W,28,1016.5,2019,10,07
2019-10-08,5,14.9,3.2,2.6,9.8,W,39,00:01:00,8.8,72,3,SW,24,1025.1,13.5,53,NA,SSW,19,1024.9,2019,10,08
2019-10-09,3.6,17.6,0,4,11.6,SE,43,22:36:00,9.2,64,1,E,11,1029.5,16.6,37,NA,E,13,1026.5,2019,10,09
2019-10-10,6,20.9,0,4,11.2,SE,39,23:19:00,11.1,77,1,E,17,1025.6,20.2,35,NA,E,7,1021.9,2019,10,10
2019-10-11,6.7,20.5,0,4,11.8,SE,37,22:57:00,11.6,69,NA,E,15,1020.2,18.9,38,NA,SSE,11,1016.2,2019,10,11
2019-10-12,7.8,24.4,0,5.4,12.2,SE,33,23:14:00,14.5,57,2,E,15,1015.8,23.1,25,NA,NE,13,1011.5,2019,10,12
2019-10-13,13.3,24.1,0,9.2,1,SW,46,15:23:00,20.3,27,7,NE,9,1011.7,18.7,63,NA,WSW,31,1013.2,2019,10,13
2019-10-14,11,19.1,0,2.4,9.4,WSW,37,12:30:00,14.6,74,6,W,19,1015.5,18.9,55,NA,WSW,20,1014.7,2019,10,14
2019-10-15,4.6,23.1,0,2.5,6.3,SW,28,15:20:00,12,78,4,NE,15,1016,21.3,32,NA,WSW,15,1013.7,2019,10,15
2019-10-16,8.4,17.4,1.2,7,6.5,WSW,57,19:32:00,12.2,94,8,WSW,15,1013.5,16.5,50,NA,W,28,1012.2,2019,10,16
2019-10-17,7.1,16.9,1,3.9,10.9,W,46,09:56:00,10.1,75,6,WSW,20,1018.3,15.9,41,NA,WSW,26,1018.3,2019,10,17
2019-10-18,0.1,21.3,0,5.2,11.6,WSW,61,13:58:00,13.3,54,5,WNW,22,1017.4,20.1,37,NA,W,39,1015.3,2019,10,18
2019-10-19,7.9,16.2,0,7.8,10.3,SW,52,14:23:00,11.4,62,7,WSW,28,1021.4,14.7,44,NA,WSW,28,1022.7,2019,10,19
2019-10-20,0.4,21.2,0,5.3,11.8,SE,35,19:05:00,10.8,71,7,NA,Calm,1029.4,19.9,38,NA,W,13,1027.2,2019,10,20
2019-10-21,4.9,26.7,0,4.8,9.1,N,52,10:26:00,14.4,61,1,NE,17,1028.9,25.5,21,NA,SSW,6,1025,2019,10,21
2019-10-22,5.6,30.4,0,5.4,12.5,ESE,28,22:24:00,20.9,34,2,NE,11,1024.9,29.4,15,NA,ENE,11,1020.9,2019,10,22
2019-10-23,9.3,33.2,0,8,12.7,NE,37,10:41:00,25.5,22,0,NE,11,1020.4,32.2,9,NA,NNW,9,1016.1,2019,10,23
2019-10-24,8.6,36.1,0,9.4,12.1,W,63,21:52:00,27.9,17,0,NE,7,1011.5,35.3,5,NA,NW,19,1006,2019,10,24
2019-10-25,11.7,18.9,0,13.5,10.8,WNW,74,12:40:00,15.2,56,6,W,35,1011.6,17.2,39,NA,W,50,1008.9,2019,10,25
2019-10-26,9,16.9,4.6,7.2,11.6,W,57,02:48:00,11.8,73,6,WSW,33,1013.8,15.8,43,NA,WSW,26,1016.4,2019,10,26
2019-10-27,4.6,18.5,0,6.8,4.3,W,31,11:01:00,11.3,75,6,WSW,11,1020.4,16.4,53,NA,SSW,17,1020.6,2019,10,27
2019-10-28,5.7,26.4,0,3.8,10.8,W,30,14:13:00,12.6,70,3,NE,17,1024,24.6,20,NA,W,13,1020.4,2019,10,28
2019-10-29,6.2,32.3,0,6.4,10.3,WNW,39,11:23:00,23.5,24,1,N,13,1018.9,31.4,10,NA,NNW,20,1016,2019,10,29
2019-10-30,10.9,35.4,0,11.4,11.1,WNW,35,13:23:00,27.3,18,4,NNE,2,1015.5,34.4,7,NA,WSW,9,1012.3,2019,10,30
2019-10-31,15.1,35,0,8.2,11.2,NNE,48,14:05:00,28.2,19,1,NNE,20,1011.7,34.8,11,NA,NNE,24,1006.8,2019,10,31
2019-11-01,19,32.3,0,14.8,6.1,SW,63,18:28:00,27.5,34,6,N,13,1007.3,28.4,35,NA,SW,20,1003.6,2019,11,01
2019-11-02,14.1,23.6,5.8,8.4,8.6,WSW,35,13:42:00,14.2,90,7,NE,6,1010.3,22,45,NA,SW,20,1007.8,2019,11,02
2019-11-03,10.7,19.4,0.2,5.6,10.1,WNW,48,14:03:00,14.9,76,7,W,20,1015,17.6,43,NA,W,30,1014.6,2019,11,03
2019-11-04,4.9,17.7,0.4,6.4,11,WSW,57,14:36:00,11.4,88,7,WSW,26,1019.6,16.5,45,NA,WSW,35,1020.5,2019,11,04
2019-11-05,1.4,23.4,0.2,8,11.7,WNW,48,15:32:00,12.2,68,4,WNW,6,1023,22.6,22,NA,W,28,1017.7,2019,11,05
2019-11-06,5.3,21.7,0,5.9,11.4,W,70,17:12:00,16.7,63,2,W,28,1012.5,19.8,34,NA,W,41,1009.6,2019,11,06
2019-11-07,10.6,19.3,0,11.6,5.1,W,65,14:48:00,11.6,86,8,WSW,33,1011.8,18.1,52,NA,W,35,1009.7,2019,11,07
2019-11-08,9.3,16.3,2.8,4.6,10.6,SW,69,09:15:00,11.5,64,4,SW,41,1011.9,14.4,39,NA,SW,33,1015.6,2019,11,08
2019-11-09,1.2,17.4,0.2,5.8,10.1,WSW,48,13:47:00,10.7,66,7,SSW,19,1023.3,16.5,40,NA,WSW,30,1021.3,2019,11,09
2019-11-10,4.1,24.8,0,7.2,11.7,WSW,33,14:34:00,13.3,62,2,WSW,15,1021.2,22.7,25,NA,W,17,1017.3,2019,11,10
2019-11-11,5.6,32.8,0,7.5,10.8,WNW,56,14:54:00,24.8,19,1,NW,20,1011.6,31.6,8,NA,NW,31,1007.3,2019,11,11
2019-11-12,10.4,17.4,0,16,8,W,57,12:36:00,12.4,53,7,SW,24,1016.5,15.6,35,NA,WSW,30,1017.8,2019,11,12
2019-11-13,3.8,19.5,0,7.4,10.3,WSW,44,13:26:00,13.9,58,6,WSW,20,1022.4,18.3,33,NA,WSW,24,1021.3,2019,11,13
2019-11-14,10.9,21,0,7.4,8.7,W,50,15:32:00,13.1,67,8,WSW,19,1020.5,20.8,41,NA,W,26,1017.2,2019,11,14
2019-11-15,9.9,18.9,0,6.5,8.8,SW,48,09:45:00,13.5,62,6,WSW,26,1016.4,17.8,48,NA,SW,28,1016.3,2019,11,15
2019-11-16,3.5,21.9,0,8,12.2,SSE,37,19:28:00,13.1,54,3,SE,7,1020.8,20.8,31,NA,SW,20,1019.2,2019,11,16
2019-11-17,1.9,24.3,0,6.3,12.3,NNE,28,12:13:00,13,59,2,SE,15,1023.6,22.4,27,NA,SW,9,1020.8,2019,11,17
2019-11-18,4.2,33.5,0,6.4,12.9,W,54,13:33:00,21.5,31,1,NNE,9,1018.2,32.6,9,NA,W,26,1014.1,2019,11,18
2019-11-19,8.3,35.5,0,12.1,12,WSW,28,13:26:00,21.7,39,NA,S,4,1014,32.2,20,NA,WSW,13,1012.1,2019,11,19
2019-11-20,19.1,42.1,0,12,12.4,NNW,57,12:51:00,35.5,9,1,N,20,1008.7,41.4,6,NA,NNW,28,1004.5,2019,11,20
2019-11-21,15.9,22.6,0,20.8,5.8,W,63,05:14:00,16.4,78,8,W,31,1007.8,21.6,45,NA,WSW,24,1010.7,2019,11,21
