Fire Name and Year,State / territory code (Sheet1),Number of Acres Burned
Australia bushfires (2019-20),WA,4200000
Australia bushfires (2019-20),VIC,2970000
Australia bushfires (2019-20),TAS,79100
Australia bushfires (2019-20),SA,677000
Australia bushfires (2019-20),QLD,6180000
Australia bushfires (2019-20),NT,0
Australia bushfires (2019-20),NSW,12100000
Australia bushfires (2019-20),ACT,0
